city,province,region,terrain,lat,lon,month,quarter,year,highest_1st_temp_quarter,highest_1st_temp_region,lowest_1st_rain_frequency_month_name,lowest_1st_maxdiff_temp_name,lowest_1st_avgdiff_temp_name,lowest_1st_maxdiff_wind_name,lowest_1st_avgdiff_wind_name,highest_1st_time_sun_month_name,highest_1st_avgtourism_temp_month_name,highest_1st_avgtourism_wind_month_name,highest_1st_avgtourism_humidity_month_name,highest_1st_avgtourism_vis_month_name,score,avgtemp_c,maxwind_kph,avghumidity,avgvis_km,cluster,is_centroids
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,1,1,2023.0,0.0,0.768,5.013438735177865,2.048,0.5584615384615386,0.2051162790697674,0.0,0.298551724137931,2.3076379690949227,2.8787155963302755,2.9972375690607738,3.15,20.22515941133308,17.166451612903227,15.33741935483871,65.30967741935484,9.774193548387096,0,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,2,1,2023.0070921985816,0.0,0.768,3.1513043478260867,2.048,0.5584615384615386,0.2051162790697674,0.0,0.9186206896551724,2.629933774834437,2.8290825688073395,1.856353591160221,3.15,18.11487278981456,18.53758865248227,15.652482269503546,74.0,9.487943262411347,0,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,3,1,2023.0,0.0,0.768,2.936442687747036,2.048,0.5584615384615386,0.2051162790697674,0.0,2.4343448275862065,2.861986754966888,1.852966360856269,1.9143646408839776,3.15,18.729683089571683,21.94,18.427096774193547,74.50322580645161,9.51225806451613,0,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,4,2,2023.0,3.84,0.768,2.339604743083004,2.048,0.5584615384615386,0.2051162790697674,0.0,3.973034482758621,1.6759381898454744,2.0184097859327217,1.430939226519337,3.5,22.357504245670462,25.004666666666665,19.086666666666662,76.50666666666666,9.576666666666666,2,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,5,2,2023.0,3.84,0.768,1.4324110671936758,2.048,0.5584615384615386,0.2051162790697674,0.0,5.014137931034482,0.9282119205298012,1.770244648318043,0.6767955801104972,3.15,20.3913789647178,27.074838709677422,17.974838709677417,78.04516129032258,9.487096774193548,2,1
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,6,2,2022.540983606557,3.84,0.768,1.456284584980237,2.048,0.5584615384615386,0.2051162790697674,0.0,5.450482758620689,0.1031346578366445,2.5312844036697246,1.179558011049724,3.5,21.640322233688327,29.33032786885246,15.52622950819672,74.9672131147541,9.54672131147541,2,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,7,3,2022.5,2.56,0.768,0.8355731225296441,2.048,0.5584615384615386,0.2051162790697674,0.0,5.243793103448275,0.0386754966887417,2.432018348623853,0.4834254143646408,3.5,18.67306330318646,29.405645161290323,15.706451612903225,75.70967741935483,9.491129032258064,2,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,8,3,2022.5,2.56,0.768,0.6207114624505928,2.048,0.5584615384615386,0.2051162790697674,0.0,4.646689655172413,0.0515673289183222,2.498195718654434,0.0773480662983425,3.5,17.53409004902541,28.508064516129032,13.45,79.5,9.47741935483871,2,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,9,3,2022.5,2.56,0.768,1.0265612648221345,2.048,0.5584615384615386,0.2051162790697674,0.0,3.1309655172413784,0.515673289183223,2.9448929663608565,0.425414364640884,3.15,17.333085219779782,27.319166666666668,13.549166666666668,79.68333333333334,9.426666666666668,2,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,10,4,2022.5,1.2799999999999998,0.768,4.4882213438735175,2.048,0.5584615384615386,0.2051162790697674,0.0,1.645862068965517,1.8564238410596028,2.0845871559633027,2.378453038674033,3.5,20.813125266067274,24.608870967741936,16.78790322580645,70.59677419354838,9.646774193548389,0,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,11,4,2022.5,1.2799999999999998,0.768,5.323794466403162,2.048,0.5584615384615386,0.2051162790697674,0.0,0.5128965517241378,2.836203090507726,2.3162079510703366,3.0939226519337018,3.15,22.092602529170367,22.9375,16.0025,67.21666666666667,9.749166666666667,0,0
Bac Giang,Bắc Giang,Trung du và miền núi Bắc Bộ,miền núi,21.2667,106.2,12,4,2022.5,1.2799999999999998,0.768,5.514782608695652,2.048,0.5584615384615386,0.2051162790697674,0.0,0.0918620689655172,2.655717439293598,2.86217125382263,3.383977900552486,3.5,22.868089088861183,17.81048387096774,15.338709677419354,60.45161290322581,9.888709677419357,0,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,1,1,2023.0,0.0,0.768,4.583715415019762,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,0.2066896551724137,1.5341280353200883,4.864036697247706,2.146408839779005,3.15,26.37948013329628,15.108387096774194,7.32774193548387,75.93548387096774,8.48774193548387,3,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,2,1,2023.0070921985816,0.0,0.768,2.7215810276679844,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,0.8267586206896551,1.9595584988962471,4.764770642201834,0.3480662983425414,2.45,22.965236578555565,16.2886524822695,7.291489361702127,88.16312056737588,6.779432624113475,3,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,3,1,2023.0,0.0,0.768,2.220237154150197,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,2.357793103448276,3.1584988962472407,4.665504587155963,0.792817679558011,3.15,26.23935291131699,20.120645161290323,8.175483870967742,83.56129032258065,7.763225806451612,3,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,4,2,2023.0,3.84,0.768,2.07699604743083,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,4.141448275862068,2.4881236203090507,4.50006116207951,1.218232044198895,3.5,31.65936264063766,23.499333333333333,8.551333333333334,84.44,7.395333333333333,9,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,5,2,2023.0,3.84,0.768,0.8355731225296441,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,5.113655172413792,1.972450331125828,4.930214067278287,0.3287292817679558,3.15,30.06512346587281,25.07354838709677,7.46516129032258,87.12903225806451,7.667096774193549,9,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,6,2,2022.540983606557,3.84,0.768,0.5013438735177865,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,5.527034482758619,1.0571302428256069,5.161834862385321,0.2900552486187845,3.5,29.77190020086342,26.74426229508197,5.981147540983607,88.82786885245902,7.718852459016394,9,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,7,3,2022.5,2.56,0.768,0.4774703557312252,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,5.335655172413793,0.7606181015452539,5.178379204892966,0.0773480662983425,3.5,27.783972391638887,27.05887096774193,6.191935483870967,86.83870967741936,7.446774193548387,9,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,8,3,2022.5,2.56,0.768,0.3103557312252964,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,4.753862068965517,1.2505077262693156,5.277645259938838,0.0773480662983425,3.5,27.624220343454617,26.364516129032257,5.036290322580645,89.5,7.598387096774194,9,0
Bac Kan,Bắc Kạn,Trung du và miền núi Bắc Bộ,miền núi,22.1333,105.8333,9,3,2022.5,2.56,0.768,0.6445849802371542,1.8773333333333333,0.7446153846153847,3.28186046511628,3.2226923076923075,3.176896551724137,2.02401766004415,4.996391437308868,0.1160220994475138,1.7500000000000004,25.16241421951913,25.496666666666663,6.39,86.78333333333333,7.3875,9,0
